Genus;specie;Nesting;ITD;Social;Pollen;Tongue;Lecty;Season
Pseudopanurgus;parvus;excavator:ground;1,73;Solitary;Leg&body;short;Polylectic;summer
Pseudopanurgus;rudbeckiae;excavator:ground;1,46;Solitary;Leg&body;short;Polylectic;summer
Pseudopanurgus;andrenoides;excavator:ground;1,56;Solitary;Leg&body;short;Polylectic;summer
Perdita;octomaculata;excavator:ground;1,53;communal;Leg&body;short;Polylectic;summer
Andrena;hirticincta;excavator:ground;2,55;Solitary;Leg&body;short;Oligolectic;summer
Andrena;wheeleri;excavator:ground;2,3;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;hippotes;excavator:ground;2,87;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;cressonii;excavator:ground;2,72;Solitary;Leg&body;short;Polylectic;Spring
Andrena;nigrae;excavator:ground;1,9;Solitary;Leg&body;short;Polylectic;Spring
Andrena;nivalis;excavator:ground;2,75;Solitary;Leg&body;short;Polylectic;Spring
Andrena;commoda;excavator:ground;4;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;carlini;excavator:ground;3,7;Solitary;Leg&body;short;Polylectic;Spring
Andrena;cratagei;excavator:ground;3,4;Solitary;Leg&body;short;Polylectic;year
Andrena;miserabilis;excavator:ground;1,56;Solitary;Leg&body;short;Polylectic;Spring
Andrena;milwaukeensis;excavator:ground;3,11;Solitary;Leg&body;short;Polylectic;Spring
Andrena;vicina;excavator:ground;3,35;Solitary;Leg&body;short;Polylectic;Spring
Andrena;frigida*;excavator:ground;3,01;Solitary;Leg&body;short;Polylectic;Spring
Andrena;perplexa*;excavator:ground;3,2;Solitary;Leg&body;short;Polylectic;Spring
Andrena;ziziae;excavator:ground;2,3;Solitary;Leg&body;short;Oligolectic;Spring
Andrena;mandibularis*;excavator:ground;2,17;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;geranii;excavator:ground;2,66;Solitary;Leg&body;short;Oligolectic;Spring:summer
Andrena;morrisonella;excavator:ground;2,93;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;erythrogaster;excavator:ground;2,75;Solitary;Leg&body;short;Oligolectic;Spring:summer
Andrena;erythronii;excavator:ground;2,2;Solitary;Leg&body;short;Oligolectic;
Andrena;dunningi;excavator:ground;2,51;Solitary;Leg&body;short;Polylectic;Spring
Andrena;persimulata;excavator:ground;2,31;Solitary;Leg&body;short;Polylectic;Spring
Andrena;rugosa;excavator:ground;3,28;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;forbesii;excavator:ground;3;Solitary;Leg&body;short;Polylectic;Spring
Andrena;nassoni;excavator:ground;1,65;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;spiraeana;excavator:ground;2,66;Solitary;Leg&body;short;Oligolectic;Spring:summer
Andrena;bisalicis;excavator:ground;2,52;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;robertsonii;excavator:ground;1,69;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;wilkella;excavator:ground;2,95;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;ceanothi;excavator:ground;2,73;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;imitatrix;excavator:ground;1,6;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;integra;excavator:ground;2,52;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;clarkella;excavator:ground;3,39;Solitary;Leg&body;short;Oligolectic;Spring
Andrena;algida;excavator:ground;2,61;Solitary;Leg&body;short;Polylectic;summer
Andrena;alleghaniensis;excavator:ground;2,96;Solitary;Leg&body;short;Polylectic;Spring
Andrena;chromotricha;excavator:ground;2,69;Solitary;Leg&body;short;Polylectic;summer
Andrena;erigeniae*;excavator:ground;2,3;Solitary;Leg&body;short;Oligolectic;Spring
Andrena;wscripta;excavator:ground;2,7;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;brevipalpis;excavator:ground;2,53;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;nubecula;excavator:ground;1,95;Solitary;Leg&body;short;Oligolectic;summer
Andrena;fragilis;excavator:ground;2,5;Solitary;Leg&body;short;Oligolectic;Spring:summer
Andrena;sigmundi;excavator:ground;3,1;Solitary;Leg&body;short;Oligolectic;Spring:summer
Andrena;platyparia;excavator:ground;1,6;Solitary;Leg&body;short;Oligolectic;summer
Andrena;asteris;excavator:ground;2,88;Solitary;Leg&body;short;Oligolectic;summer
Andrena;distans;excavator:ground;1,55;Solitary;Leg&body;short;Oligolectic;Spring
Andrena;rufosignata;excavator:ground;2,57;Solitary;Leg&body;short;Polylectic;Spring
Andrena;regularis;excavator:ground;3,53;Solitary;Leg&body;short;Polylectic;Spring:summer
Andrena;simplex;excavator:ground;2,01;Solitary;Leg&body;short;Oligolectic;summer
Nomada;bethunei;cleptoparasite;2,8;Cleptoparasite;Accidental;short;Polylectic;Spring
Nomada;cressonii;cleptoparasite;2,5;Cleptoparasite;Accidental;short;Polylectic;Spring
Nomada;pygmaea;cleptoparasite;2,7;Cleptoparasite;Accidental;short;Polylectic;Spring
Nomada;parva;cleptoparasite;2,02;Cleptoparasite;Accidental;short;Polylectic;Spring
Nomada;maculata;cleptoparasite;3,05;Cleptoparasite;Accidental;short;Polylectic;Spring
Nomada;denticulata;cleptoparasite;2,3;Cleptoparasite;Accidental;short;Polylectic;Spring
Nomada;luteoloides;cleptoparasite;3,1;Cleptoparasite;Accidental;short;Polylectic;Spring
Nomada;vicina;cleptoparasite;2,6;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;ranunculi;cleptoparasite;2,16;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;dichrous;cleptoparasite;2,7;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;mandibularis;cleptoparasite;1,5;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;solonis;cleptoparasite;1,5;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;clematidis;cleptoparasite;2,5;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;confertus;cleptoparasite;1,5;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;cressoni;cleptoparasite;1,2;Cleptoparasite;Accidental;short;Polylectic;Spring
Sphecodes;carolinus;cleptoparasite;1,6;Cleptoparasite;Accidental;short;Polylectic;Spring
Triepeolus;obliteratus;cleptoparasite;2,83;Cleptoparasite;Accidental;short;Polylectic;summer
Triepeolus;regimenatus;cleptoparasite;3,6;Cleptoparasite;Accidental;short;Polylectic;summer
Epeolus;scutelaris;cleptoparasite;3,33;Cleptoparasite;Accidental;short;Polylectic;summer
Macropis;nuda;excavator:ground;2,7;Solitary;legsonly;medium;Oligolectic;Spring:summer
Triepeolus;pectoralis;cleptoparasite;2,85;Cleptoparasite;Accidental;short;Polylectic;summer
Holcopasites;calliopsidis;cleptoparasite;1,25;Cleptoparasite;Accidental;short;Polylectic;summer
