Site;Date;Plant species;Pollinator species;Visits
Tinkerbell;28/10/2012;Lychnofora uniflora;Megachile cf (Dactylomegachile) sp.;2
Tinkerbell;28/10/2012;Lychnofora uniflora;Megachile cf (Dactylomegachile) sp.;3
Tinkerbell;28/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Wasp sp. 1;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;3
Tinkerbell;28/10/2012;Lychnofora uniflora;Bombus pauloensis;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Gaesischia sp. 2;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Junonia sp.;1
Tinkerbell;28/10/2012;Declieuxia fruticosa;Dialictus (Chloralictus) sp. 1;2
Tinkerbell;28/10/2012;Richterago caulescens;Dialictus (Chloralictus) sp. 1;1
Tinkerbell;28/10/2012;Myrcia guianensis;Paroxystoglossa sp. 1;1
Tinkerbell;28/10/2012;Richterago amplexifolia;Dialictus (Chloralictus) sp. 1;1
Soizig;29/10/2012;Paepalanthus bromelioides;Camponotus crassus;2
Soizig;29/10/2012;Paepalanthus bromelioides;Diptera sp. 2;1
Soizig;29/10/2012;Paepalanthus bromelioides;Parisoschoenus sp.;1
Soizig;29/10/2012;Paepalanthus bromelioides;Brachiacantha sp.;1
Soizig;29/10/2012;Lychnofora uniflora;Unidentified Lepidoptera sp. 2;1
Soizig;29/10/2012;Lychnofora uniflora;Megachile (Dasymegachile) sp.;1
Soizig;29/10/2012;Paepalanthus bromelioides;Diptera sp. 2;1
Soizig;29/10/2012;Paepalanthus bromelioides;Parisoschoenus sp.;2
Soizig;29/10/2012;Lychnofora uniflora;Augochloropsis sp. 3;1
Soizig;29/10/2012;Paepalanthus bromelioides;Dialictus (Chloralictus) sp. 1;1
Soizig;29/10/2012;Paepalanthus bromelioides;Brachiacantha sp.;2
Soizig;29/10/2012;Paepalanthus bromelioides;Parisoschoenus sp.;1
Soizig;29/10/2012;Paepalanthus bromelioides;Camponotus crassus;1
Soizig;29/10/2012;Erythroxylum suberosum;Zethus brasiliensis brasiliensis;1
Soizig;29/10/2012;Erythroxylum suberosum;Dialictus (Chloralictus) sp. 1;1
Soizig;29/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Soizig;29/10/2012;Qualia dichotoma;Megachile (Moureapis) cf anthidioides;1
Soizig;29/10/2012;Qualia dichotoma;Xylocopa big;1
Soizig;29/10/2012;Qualia dichotoma;Eupetomena macroura;1
Soizig;29/10/2012;Qualia dichotoma;Polybia ignobilis ;1
Soizig;29/10/2012;Qualia dichotoma;Xylocopa big;1
Soizig;29/10/2012;Qualia dichotoma;Eupetomena macroura;1
Soizig;29/10/2012;Qualia dichotoma;Centris (Hemisielaa) tarsata;2
Soizig;29/10/2012;Qualia dichotoma;Myzinum sp.;1
Soizig;29/10/2012;Ilex sp.;Apis mellifera;1
Soizig;29/10/2012;Ilex sp.;Campsomeris sp. 2;1
Soizig;29/10/2012;Ilex sp.;Nitidulidae sp. 2;1
Soizig;29/10/2012;Ouratea floribunda;Exomalopsis sp. 2;1
Soizig;29/10/2012;Lychnofora uniflora;Megachile (Pseudocentron) sp. 1;1
Soizig;29/10/2012;Lychnofora uniflora;Gaesischia sp. 1;1
Soizig;29/10/2012;Lychnofora uniflora;Coelioxys sp.;1
Soizig;29/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Soizig;29/10/2012;Lychnofora uniflora;Gaesischia sp. 2;1
Soizig;29/10/2012;Lychnofora uniflora;Trigona spinipes;1
Soizig;29/10/2012;Lychnofora uniflora;Megachile (Dasymegachile) sp.;1
Soizig;29/10/2012;Aspilia jolyana;Megachile sp.;1
Paulino;01/11/2012;Byrsonima pachyphylla;Augochloropsis sp. 1;1
Paulino;01/11/2012;Byrsonima pachyphylla;Tapinotaspidini sp. 1;1
Paulino;01/11/2012;Qualia dichotoma;Centris (Hemisielaa) tarsata;2
Paulino;01/11/2012;Qualia dichotoma;Exomalopsis sp. 2;2
Paulino;01/11/2012;Qualia dichotoma;Paroxystoglossa sp. 1;1
Paulino;01/11/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Paulino;01/11/2012;Lychnofora uniflora;Rubrica nasuta;1
Paulino;01/11/2012;Simira sampaioana;Enesis sp.;1
Paulino;01/11/2012;Simira sampaioana;Dialictus (Chloralictus) sp. 1;1
Paulino;01/11/2012;Byrsonima pachyphylla;Synoeca surinama;1
Paulino;01/11/2012;Byrsonima pachyphylla;Tapinotaspidini sp. 1;2
Paulino;01/11/2012;Erythroxylum suberosum;Polybia ignobilis ;1
Paulino;01/11/2012;Erythroxylum suberosum;Tetrapedia sp. 1;2
Paulino;01/11/2012;Erythroxylum suberosum;Myzinum sp.;2
Paulino;01/11/2012;Erythroxylum suberosum;Zethus brasiliensis brasiliensis;2
Paulino;01/11/2012;Erythroxylum suberosum;Polistes satan;1
Paulino;01/11/2012;Erythroxylum suberosum;Dialictus (Chloralictus) sp. 1;1
Paulino;01/11/2012;Erythroxylum suberosum;Zethus fraternus;1
Paulino;01/11/2012;Erythroxylum suberosum;Tapinotaspidini sp. 1;1
Paulino;01/11/2012;Erythroxylum suberosum;Coelioxys sp.;1
Paulino;01/11/2012;Erythroxylum suberosum;Myzinum sp.;1
Paulino;01/11/2012;Trigonia cipoensis;Cerambycidae sp.;1
Paulino;01/11/2012;Trigonia cipoensis;Rubrica nasuta;2
Paulino;01/11/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;3
Paulino;01/11/2012;Ilex sp.;Apis mellifera;4
Paulino;01/11/2012;Ilex sp.;Zethus brasiliensis brasiliensis;1
Paulino;01/11/2012;Ilex sp.;Polybia ignobilis ;1
Paulino;01/11/2012;Ilex sp.;Zethus productus;1
Paulino;01/11/2012;Lychnofora rupestris;Gaesischia sp. 2;1
Paulino;01/11/2012;Lychnofora rupestris;Cephalotes pusillus;1
Paulino;01/11/2012;Lychnofora rupestris;Dialictus (Chloralictus) sp. 2;3
Paulino;01/11/2012;Paepalanthus bromelioides;Cerambycidae sp.;1
Paulino;01/11/2012;Cuphea ericoides;Nitidulidae sp. 1;1
Paulino;01/11/2012;Trigonia cipoensis;Campsomeris sp. 1;1
Paulino;01/11/2012;Trigonia cipoensis;Polybia ignobilis ;1
Paulino;01/11/2012;Paepalanthus bromelioides;Alticini sp. 1;2
Paulino;01/11/2012;Paepalanthus bromelioides;Pteromalidae sp. 2;1
Paulino;01/11/2012;Paepalanthus bromelioides;Formicidae sp.;1
Paulino;01/11/2012;Paepalanthus bromelioides;Sibinia sp.;1
Paulino;01/11/2012;Lychnofora uniflora;Gaesischia sp. 2;2
Paulino;01/11/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Paulino;01/11/2012;Lychnofora uniflora;Coelioxys sp.;1
Paulino;01/11/2012;Lychnofora uniflora;Ceratina (Crewella) sp. 4;1
Paulino;01/11/2012;Byrsonima variabilis;Exomalopsis sp. 2;1
Paulino;01/11/2012;Byrsonima variabilis;Tapinotaspidini sp. 2;1
