Species,Red.List,Abundance,Population.trend,Pollen.specialisation,Nest.location,Sociality,Mean.flight.month,Duration.of.activity,Size.mean,Altitude.mean,Forest,Raw.soil,Urban.areas,Meadows,Hedgerows,Wasteland,Habitat.breadth
"Bombus sichelii RADOSZKOWSKI, 1859",3,5,3,polylectic,ground,social,6.5,6,14.5,2300,1,0,0,0,1,0,2
"Bombus wurflenii RADOSZKOWSKI, 1859",2,3,3,polylectic,ground,social,7,7,14.5,1500,1,1,0,1,1,0,4
"Coelioxys conoidea (ILLIGER, 1806)",3,4,3,cuckoo,host nest,cuckoo,7,3,14.5,800,0,1,0,0,0,1,2
"Halictus sexcinctus (FABRICIUS, 1775)",3,3,4,polylectic,ground,solitary,7,6,14.5,800,0,1,0,0,0,1,2
"Megachile maritima (KIRBY, 1802)",3,3,4,polylectic,ground,solitary,7,3,14.5,800,0,1,0,0,0,1,2
"Andrena hattorfiana (FABRICIUS, 1775)",3,3,4,oligolectic,ground,solitary,6.5,4,15,800,0,0,1,1,1,0,3
"Andrena nitida (MÜLLER, 1776)",1,1,2,polylectic,ground,solitary,4.5,4,15,800,0,0,0,0,0,0,6
"Andrena thoracica (FABRICIUS, 1775)",4,5,3,polylectic,ground,solitary,6.5,6,15,800,0,1,0,0,0,1,2
"Bombus alpinus (LINNAEUS, 1758)",6,7,6,polylectic,ground,social,6.5,6,15,1900,0,0,0,0,0,1,1
"Bombus sylvestris (LEPELETIER, 1832)",1,2,2,cuckoo,host nest,cuckoo,6,5,15,1050,1,0,1,1,1,1,5
"Dasypoda argentata (PANZER, 1809)",5,6,4,oligolectic,ground,solitary,7.5,4,15,800,0,1,0,0,0,0,1
"Megachile nigriventris SCHENCK, 1868",1,3,1,oligolectic,above,solitary,6.5,4,15,1050,1,0,0,0,1,0,2
"Andrena aberrans EVERSMANN, 1852",5,6,3,oligolectic,ground,solitary,5,3,15.5,400,0,1,0,0,0,1,2
"Bombus mendax GERSTÄCKER, 1869",1,4,2,polylectic,ground,social,7,7,15.5,2300,0,1,0,0,0,0,1
"Halictus quadricinctus (FABRICIUS, 1776)",3,4,3,polylectic,ground,solitary,6.5,6,15.5,1050,0,1,0,0,0,1,2
"Bombus gerstaeckeri MORAWITZ, 1882",unknown,6,2,oligolectic,ground,social,8,5,16,1900,0,0,0,0,1,1,2
"Megachile lagopoda (LINNAEUS, 1761)",4,5,3,polylectic,ground and above,solitary,7,3,16,800,0,1,0,0,0,1,2
"Bombus campestris (PANZER, 1801)",1,2,2,cuckoo,host nest,cuckoo,6.5,4,16.5,1050,0,0,1,1,1,1,4
"Xylocopa iris (CHRIST, 1791)",6,7,6,polylectic,above,solitary,7,7,16.5,400,0,0,0,0,1,0,1
"Andrena nasuta GIRAUD, 1863",4,4,4,oligolectic,ground,solitary,5.5,2,17,400,0,1,0,0,0,0,1
"Bombus flavidus EVERSMANN, 1852",3,4,insufficient data,cuckoo,host nest,cuckoo,7.5,4,17,1900,1,0,0,0,1,0,2
"Megachile parietina (GEOFFROY, 1785)",5,6,5,polylectic,above,solitary,5.5,6,17,800,0,1,0,0,0,1,2
"Bombus barbutellus (KIRBY, 1802)",1,2,2,cuckoo,host nest,cuckoo,5.5,4,18,1050,0,0,1,1,1,1,4
"Bombus norvegicus (SPARRE-SCHNEIDER, 1918)",1,3,2,cuckoo,host nest,cuckoo,6,5,20,1050,1,0,0,1,1,1,4
"Bombus rupestris (FABRICIUS, 1793)",1,2,2,cuckoo,host nest,cuckoo,6,5,20,1050,0,0,1,1,1,1,4
"Bombus vestalis (GEOFFROY, 1785)",1,3,2,cuckoo,host nest,cuckoo,6,5,21,800,0,0,1,1,1,1,4
"Xylocopa violacea (LINNAEUS, 1758)",1,3,1,polylectic,above,solitary,6.5,8,22.5,800,0,0,1,1,0,0,2
"Bombus bohemicus SEIDL, 1838",1,2,2,cuckoo,host nest,cuckoo,6,5,24,1050,0,0,1,1,1,1,4
"Bombus quadricolor (LEPELETIER, 1832)",4,5,3,cuckoo,host nest,cuckoo,6.5,6,24,1050,1,1,0,1,1,1,5
