"local_id","species","day","month","year","country","m_IT","n_IT","m_sex","doi","name","description","Contributor_name","Contributor_lastname"
68,"Andrena barbilabris",21,4,1959,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
69,"Andrena barbilabris",20,4,1957,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
70,"Andrena barbilabris",20,4,1957,"Netherlands",2.1,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
71,"Andrena barbilabris",NA,6,1957,"Netherlands",2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
72,"Andrena barbilabris",NA,8,1956,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
73,"Andrena barbilabris",22,4,1956,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
74,"Andrena barbilabris",NA,7,1955,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
75,"Andrena barbilabris",NA,6,1950,"Netherlands",2.6,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
76,"Andrena barbilabris",NA,6,1950,"Netherlands",2.1,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
77,"Andrena barbilabris",NA,7,1954,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
78,"Andrena barbilabris",NA,5,1953,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
79,"Andrena barbilabris",NA,5,1956,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
80,"Andrena barbilabris",NA,5,1952,"Netherlands",2.6,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
81,"Andrena barbilabris",25,4,1978,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
82,"Andrena barbilabris",13,4,1978,"Netherlands",2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
83,"Andrena barbilabris",NA,4,1966,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
84,"Andrena barbilabris",NA,5,1974,"Netherlands",2.6,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
85,"Andrena barbilabris",24,5,1971,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
